region,suicidesper100k
LATIN AMER. & CARIB,1.088269543
LATIN AMER. & CARIB,7.740627468
ASIA,2.64726768
GLOBAL WEST,13.61013112
GLOBAL WEST,15.22011498
GLOBAL WEST,17.57282983
LATIN AMER. & CARIB,8.129191614
LATIN AMER. & CARIB,5.841839076
LATIN AMER. & CARIB,11.09519807
LATIN AMER. & CARIB,5.241577025
EASTERN EUROPE,18.46729452
LATIN AMER. & CARIB,13.94932159
MIDDLE EAST,5.024892059
EASTERN EUROPE,13.88482205
GLOBAL WEST,10.47731216
LATIN AMER. & CARIB,7.382676676
EASTERN EUROPE,15.68217459
GLOBAL WEST,14.10707521
ASIA,5.551700208
GLOBAL WEST,12.9107093
GLOBAL WEST,5.120369333
LATIN AMER. & CARIB,0
LATIN AMER. & CARIB,3.464625091
EASTERN EUROPE,19.89452282
GLOBAL WEST,12.96369517
MIDDLE EAST,4.550183737
GLOBAL WEST,6.861937423
ASIA,19.18317649
ASIA,18.35524715
ASIA,8.025671371
EASTERN EUROPE,20.63425542
EASTERN EUROPE,32.53536951
GLOBAL WEST,11.90148545
GLOBAL WEST,8.279818915
SUB-SAHARAN AFRICA,9.005514146
LATIN AMER. & CARIB,5.451307581
GLOBAL WEST,11.66444608
LATIN AMER. & CARIB,5.751866663
GLOBAL WEST,12.0829612
LATIN AMER. & CARIB,3.069725751
EASTERN EUROPE,15.0194359
LATIN AMER. & CARIB,6.513867476
MIDDLE EAST,2.803563244
EASTERN EUROPE,11.81090236
EASTERN EUROPE,18.56093723
LATIN AMER. & CARIB,2.971827079
EASTERN EUROPE,15.69518589
SUB-SAHARAN AFRICA,8.144364681
ASIA,8.846190559
EASTERN EUROPE,21.5897417
SUB-SAHARAN AFRICA,0.971236489
ASIA,27.75737352
GLOBAL WEST,8.156332174
GLOBAL WEST,12.96831299
GLOBAL WEST,13.59518186
ASIA,6.864042466
MIDDLE EAST,2.131316236
ASIA,2.72177671
EASTERN EUROPE,18.77287464
GLOBAL WEST,8.038250679
GLOBAL WEST,14.72581287
LATIN AMER. & CARIB,19.7442957
LATIN AMER. & CARIB,25.71825253
LATIN AMER. & CARIB,6.085827425
LATIN AMER. & CARIB,6.448216736
LATIN AMER. & CARIB,1.922310217
LATIN AMER. & CARIB,30.70772533
LATIN AMER. & CARIB,6.776293996
ASIA,2.908490032
EASTERN EUROPE,10.5173337
OCEANIA,4.087163879
WESTERN EUROPE,12.2882823
NORTHERN AMERICA,12.16875268
EASTERN EUROPE,8.565558955
WESTERN EUROPE,14.73390201
OCEANIA,12.42199929
WESTERN EUROPE,11.22909361
EASTERN EUROPE,19.54647463
LATIN AMER. & CARIB,1.432833084
MIDDLE EAST,0.741371669
LATIN AMER. & CARIB,0
MIDDLE EAST,1.830277309
WESTERN ASIA,0.586479306
OCEANIA,12.42199929
MIDDLE EAST,0.192779154
LATIN AMER. & CARIB,8.454310491
LATIN AMER. & CARIB,9.425268097
