GEOID,State,EDCost,PMPM,ED,HO,PO,WhitePop,BlackPop,OtherPop,HealthyPop,ChronicPop,ComplexPop,Unemployment,Income,Poverty,Education,Urbanicity,Accessibility,Availability,RankingsPCP,RankingsFood,RankingsHousing,RankingsExercise,RankingsSocial,ProvDensity
22101040300,LA,408043.5191,6946,7866,145,1819,50.59028079,38.93842534,10.47129387,44.71642159,18.95976361,36.3238148,13.6,31875,25.1,5.7,Suburban,0.750055,0.330452737,50.28213867,7,16,65,8.9,0.688
22069000300,LA,227552.3444,5555,3380,163,1397,42.37547163,49.57250448,8.052023884,47.00460378,17.11266379,35.88273243,5.5,46739,20.1,19.9,Suburban,20.81260786,0.775825451,50.71508267,6,21,49,15,0.7985
22081960300,LA,603816.731,9906,7102,389,2045,38.57474826,54.14407436,7.281177382,46.13970588,17.1875,36.67279412,11.2,30270,23.5,12.4,Rural,1.251496,0.4312,22.26427697,7,15,3,10,0.5964
22081960100,LA,136974.4313,2344,1541,88,442,46.46291419,46.52820983,7.00887598,49.68658307,17.939895,32.37352194,7.4,40605,13.9,13.4,Urban,11.0323339,0.581593302,22.26427697,7,15,3,10,0.4523
22069000200,LA,310932.9796,5821,3824,190,1425,46.29161565,46.41741787,7.290966477,45.88570889,16.55395279,37.56033832,14.3,29934,25.6,9.2,Suburban,25,1,50.71508267,6,21,49,15,0.7132
22031950300,LA,211416.7167,3592,3444,113,490,27.7914484,65.02821578,7.180335815,44.55007695,14.70538843,40.74453462,8.4,39592,14.3,17.6,Urban,20.55660523,0.893317714,22.25271669,7,13,42,15.9,1.1667
22031950100,LA,346658.8978,7234,7256,167,1380,59.71053796,31.91147509,8.377986948,47.52296232,16.6949487,35.78208898,9.2,50298,9.2,15.2,Urban,17.63925412,0.600762229,22.25271669,7,13,42,15.9,1.379
22017024800,LA,73433.36757,1615,1305,81,141,18.41355395,71.97781958,9.608626476,52.58496382,17.10026555,30.31477063,8.2,28500,14.9,15.2,Urban,22.05931259,0.868892386,102.2976121,6,17,65,12.7,1.3768
22017025100,LA,98566.46944,2631,1304,113,164,56.98335258,35.29494876,7.721698652,51.97482503,14.8930901,33.13208487,8.6,21989,18.9,8.3,Urban,24.45008998,0.974602694,102.2976121,6,17,65,12.7,0.4644
22017024900,LA,266708.4902,5833,3444,340,490,50.77425626,42.94965145,6.276092296,47.26715009,18.33559517,34.39725474,10.4,42054,8.5,12.4,Urban,17.28969503,0.768552232,102.2976121,6,17,65,12.7,1.2544
22017024107,LA,270112.9918,5959,6082,159,934,30.80128011,60.37769531,8.821024574,50.62605535,16.36106435,33.0128803,7.2,51920,7,9.1,Urban,11.1841971,0.356259027,102.2976121,6,17,65,12.7,1.3083
22017024106,LA,284162.0586,7264,6205,197,1232,42.73528154,46.82778685,10.43693161,49.27190732,18.03447166,32.69362102,7.2,36575,15.5,20.5,Urban,2.596346248,0.164804205,102.2976121,6,17,65,12.7,1.3203
22017023300,LA,184215.5676,3757,4024,98,509,16.63646572,75.76424895,7.599285335,49.09201065,15.9687907,34.93919865,17.1,18098,39.3,3.1,Urban,1.84191763,0.30815697,102.2976121,6,17,65,12.7,1.2911
22017022400,LA,337168.869,6695,7714,179,956,9.216843092,84.62370895,6.159447956,52.13988968,13.77750148,34.08260885,13.2,23975,31.6,4.2,Urban,2.198884,0.15,102.2976121,6,17,65,12.7,1.2955
22017024104,LA,453189.0776,10094,9867,256,1507,29.04555945,61.61448952,9.33995103,48.52570782,17.71311447,33.76117771,7.7,39706,21.3,8.8,Urban,5.80522113,0.15,102.2976121,6,17,65,12.7,1.2997
22017021700,LA,191310.1661,4228,4004,119,385,11.46822423,80.57987445,7.951901322,40.66779838,18.52961747,40.80258415,12.7,22609,18.1,4.5,Urban,0.444443,0.15,102.2976121,6,17,65,12.7,1.2912
