Company	WC/TA	RE/TA	EBIT/TA	S/TA	BVE/BVL	Bankrupt
360Networks	9.300000000e+000	-7.700000000e+000	1.600000000e+000	9.100000000e+000	3.726000000e+000	1.000000000e+000
Advanced Radio Telecom	4.260000000e+001	-6.010000000e+001	-1.010000000e+001	3.000000000e-001	4.130000000e+000	1.000000000e+000
Ardent Communications	-2.880000000e+001	-2.032000000e+002	-5.100000000e+001	1.470000000e+001	1.110000000e-001	1.000000000e+000
At Home Corp.	2.500000000e+000	-4.331000000e+002	-6.000000000e+000	2.930000000e+001	1.949000000e+000	1.000000000e+000
Convergent Communications	2.610000000e+001	-5.740000000e+001	-2.350000000e+001	5.420000000e+001	8.550000000e-001	1.000000000e+000
Covad Communications	3.920000000e+001	-1.118000000e+002	-7.780000000e+001	1.050000000e+001	1.680000000e-001	1.000000000e+000
e.spire	-5.400000000e+000	-1.052000000e+002	-5.800000000e+000	3.890000000e+001	2.800000000e-002	1.000000000e+000
eGlobe	-3.520000000e+001	-9.240000000e+001	-3.250000000e+001	4.850000000e+001	1.128000000e+001	1.000000000e+000
Exodus Communications	1.050000000e+001	-1.240000000e+001	-2.300000000e+000	2.100000000e+001	2.500000000e+000	1.000000000e+000
General Datacomm Industries	-2.240000000e+001	-1.245000000e+002	-7.900000000e+000	1.256000000e+002	1.595000000e+000	1.000000000e+000
Global Telesystems	2.460000000e+001	-2.900000000e+001	-2.000000000e+000	2.130000000e+001	1.968000000e+000	1.000000000e+000
GST Telecom	6.600000000e+000	-5.090000000e+001	-2.600000000e+000	2.890000000e+001	2.580000000e-001	1.000000000e+000
Metricom	3.390000000e+001	-4.650000000e+001	-1.750000000e+001	9.000000000e-001	8.280000000e-001	1.000000000e+000
Net2000 Communications	1.910000000e+001	-6.630000000e+001	-2.550000000e+001	2.230000000e+001	4.600000000e-001	1.000000000e+000
NetVoice Technologies	-2.110000000e+001	-4.600000000e+001	-2.680000000e+001	8.140000000e+001	6.980000000e-001	1.000000000e+000
PSINet	2.500000000e+000	-2.287000000e+002	-6.700000000e+000	3.860000000e+001	3.000000000e-002	1.000000000e+000
Rhythms NetConnections	4.700000000e+001	-7.820000000e+001	-4.200000000e+001	4.400000000e+000	1.680000000e-001	1.000000000e+000
RSL Communications	9.100000000e+000	-4.020000000e+001	-7.000000000e-001	8.150000000e+001	5.220000000e-001	1.000000000e+000
SSE Telecom	4.300000000e+001	-4.920000000e+001	-8.740000000e+001	1.199000000e+002	2.919000000e+000	1.000000000e+000
Startec Global Communications	-3.490000000e+001	-7.900000000e+001	-1.350000000e+001	1.278000000e+002	1.970000000e-001	1.000000000e+000
Teligent	2.060000000e+001	-1.463000000e+002	-3.600000000e+001	1.260000000e+001	7.500000000e-002	1.000000000e+000
U.S. Wireless	-5.160000000e+001	-3.261000000e+002	-9.870000000e+001	9.000000000e-001	2.402000000e+000	1.000000000e+000
Viatel	-9.300000000e+001	-9.520000000e+001	-7.300000000e+000	3.480000000e+001	7.100000000e-002	1.000000000e+000
WebLink Wireless	-1.275000000e+002	-1.213000000e+002	6.400000000e+000	6.570000000e+001	2.480000000e-001	1.000000000e+000
Winstar	-1.200000000e+000	-4.750000000e+001	-9.700000000e+000	1.450000000e+001	4.560000000e-001	1.000000000e+000
Aether Systems	3.060000000e+001	-1.440000000e+001	-4.900000000e+000	2.200000000e+000	3.482000000e+000	0.000000000e+000
Akamai Technologies	9.800000000e+000	-3.380000000e+001	-7.100000000e+000	3.200000000e+000	5.965000000e+000	0.000000000e+000
Allegiance Telecom	3.780000000e+001	-4.540000000e+001	-7.100000000e+000	1.710000000e+001	3.450000000e+000	0.000000000e+000
ALLTEL Corp.	2.200000000e+000	3.160000000e+001	2.200000000e+001	5.800000000e+001	2.758000000e+000	0.000000000e+000
BellSouth	-1.150000000e+001	2.760000000e+001	2.440000000e+001	5.140000000e+001	2.266000000e+000	0.000000000e+000
Broadwing	-4.100000000e+000	-5.800000000e+000	7.700000000e+000	3.160000000e+001	1.222000000e+000	0.000000000e+000
CenturyTel	-5.700000000e+000	2.110000000e+001	1.430000000e+001	2.890000000e+001	1.153000000e+000	0.000000000e+000
Citizens Communications	2.520000000e+001	0.000000000e+000	7.900000000e+000	2.590000000e+001	7.170000000e-001	0.000000000e+000
Commonweatlh Telephone	-5.700000000e+000	0.000000000e+000	1.630000000e+001	4.990000000e+001	1.517000000e+000	0.000000000e+000
Conestoga Enterprises	1.700000000e+000	1.140000000e+001	1.410000000e+001	4.800000000e+001	1.347000000e+000	0.000000000e+000
Digex	1.380000000e+001	-3.760000000e+001	-1.300000000e+001	3.230000000e+001	1.376800000e+001	0.000000000e+000
Equant	8.200000000e+000	-1.560000000e+001	3.000000000e-001	8.770000000e+001	5.444000000e+000	0.000000000e+000
Garmin	7.470000000e+001	5.460000000e+001	2.790000000e+001	7.460000000e+001	3.720000000e+000	0.000000000e+000
Gilat Satellite Networks	4.310000000e+001	-4.000000000e-001	3.400000000e+000	4.000000000e+001	9.250000000e-001	0.000000000e+000
IDT Corp.	4.870000000e+001	3.840000000e+001	-9.200000000e+000	6.540000000e+001	7.050000000e-001	0.000000000e+000
Infonet	4.070000000e+001	6.000000000e-001	1.800000000e+000	4.920000000e+001	7.497000000e+000	0.000000000e+000
Openwave Systems	2.030000000e+001	-6.130000000e+001	1.900000000e+000	2.700000000e+001	3.517800000e+001	0.000000000e+000
Price Communications	1.610000000e+001	3.600000000e+000	1.160000000e+001	2.140000000e+001	8.560000000e-001	0.000000000e+000
Qwest	-6.100000000e+000	0.000000000e+000	9.400000000e+000	2.260000000e+001	2.123000000e+000	0.000000000e+000
SBC Communications	-7.200000000e+000	1.860000000e+001	2.080000000e+001	5.220000000e+001	2.413000000e+000	0.000000000e+000
Telephone and Data Systems	-5.300000000e+000	3.100000000e+001	4.900000000e+000	2.690000000e+001	1.362000000e+000	0.000000000e+000
Time Warner Telecom	4.100000000e+000	-1.010000000e+001	9.700000000e+000	3.600000000e+001	7.623000000e+000	0.000000000e+000
U.S. Cellular	3.000000000e-001	2.790000000e+001	1.610000000e+001	4.950000000e+001	4.357000000e+000	0.000000000e+000
Verizon Communications	-7.400000000e+000	8.900000000e+000	1.530000000e+001	3.930000000e+001	1.273000000e+000	0.000000000e+000
Western Wireless	1.100000000e+000	-3.950000000e+001	1.570000000e+001	4.180000000e+001	1.449000000e+000	0.000000000e+000
